asset,tf,leverage,channel,sl_atr,rr,adx_min,rsi,macd,return_pct,monthly_pct,wr,actual_rr,trades,tpd,liqs,ev
XRPUSDT,1h,10,16,1.5,2.5,15,on,off,168.98,4.218,30.49,2.081,164,0.225,0,-0.0605
XRPUSDT,1h,10,16,1.5,2.5,15,off,off,168.98,4.218,30.49,2.081,164,0.225,0,-0.0605
ETHUSDT,1h,15,12,1.0,2.5,off,on,on,168.61,4.212,22.0,4.243,50,0.069,0,0.1535
ETHUSDT,1h,15,12,1.0,2.5,off,off,on,168.61,4.212,22.0,4.243,50,0.069,0,0.1535
ETHUSDT,1h,20,16,1.0,2.0,off,on,on,168.32,4.207,25.0,4.419,48,0.066,0,0.3547
ETHUSDT,1h,15,16,1.0,2.0,off,on,on,168.32,4.207,25.0,4.419,48,0.066,0,0.3547
ETHUSDT,1h,15,16,1.0,2.0,off,off,on,168.32,4.207,25.0,4.419,48,0.066,0,0.3547
ETHUSDT,1h,20,16,1.0,2.0,off,off,on,168.32,4.207,25.0,4.419,48,0.066,0,0.3547
ETHUSDT,1h,5,16,2.0,3.0,25,on,on,167.44,4.193,39.56,1.367,321,0.44,0,-0.0637
ETHUSDT,1h,5,16,2.0,3.0,25,off,on,167.44,4.193,39.56,1.367,321,0.44,0,-0.0637
XRPUSDT,1h,20,8,2.0,3.0,25,on,off,166.94,4.185,10.71,6.549,28,0.038,0,-0.1912
XRPUSDT,1h,15,8,2.0,3.0,25,on,off,166.94,4.185,10.71,6.549,28,0.038,0,-0.1912
XRPUSDT,1h,10,8,2.0,3.0,25,on,off,166.94,4.185,10.71,6.549,28,0.038,0,-0.1912
XRPUSDT,1h,15,8,2.0,2.0,25,off,off,161.89,4.102,44.07,1.471,295,0.405,18,0.0888
XRPUSDT,1h,20,16,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,20,12,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,20,12,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,20,16,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,10,16,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,15,12,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,10,16,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,10,12,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,10,12,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,15,16,1.5,3.0,off,on,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,15,16,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,15,12,1.5,3.0,off,off,on,161.58,4.097,11.11,5.994,27,0.037,0,-0.2229
XRPUSDT,1h,20,8,2.0,2.0,25,on,off,159.31,4.059,42.86,1.481,294,0.403,35,0.0633
XRPUSDT,1h,10,8,2.0,2.5,off,on,off,157.49,4.028,25.0,3.837,60,0.082,0,0.2093
XRPUSDT,1h,20,8,2.0,2.5,off,on,off,157.49,4.028,25.0,3.837,60,0.082,0,0.2093
XRPUSDT,1h,15,8,2.0,2.5,off,on,off,157.49,4.028,25.0,3.837,60,0.082,0,0.2093
XRPUSDT,1h,15,8,2.0,2.0,25,on,on,156.85,4.017,43.5,1.558,246,0.337,14,0.1126
XRPUSDT,1h,15,8,2.0,2.0,25,off,on,156.85,4.017,43.5,1.558,246,0.337,14,0.1126
ETHUSDT,1h,15,16,2.0,3.0,25,off,off,153.94,3.968,40.59,1.319,340,0.466,5,-0.0589
ETHUSDT,1h,5,12,2.0,3.0,25,on,off,153.73,3.964,38.21,1.282,390,0.535,0,-0.1283
ETHUSDT,1h,10,16,2.0,3.0,25,on,off,152.39,3.941,40.06,1.293,357,0.49,3,-0.0816
ETHUSDT,1h,20,8,2.0,2.5,25,off,off,152.38,3.941,40.0,1.306,425,0.583,20,-0.0777
ETHUSDT,1h,5,16,2.0,3.0,25,on,off,151.57,3.927,38.5,1.309,361,0.495,0,-0.1111
ETHUSDT,1h,5,12,2.0,3.0,25,off,off,151.22,3.921,38.27,1.277,392,0.538,0,-0.1289
ETHUSDT,1h,10,16,2.0,3.0,25,off,off,150.31,3.905,40.59,1.311,340,0.466,3,-0.062
XRPUSDT,1h,20,8,2.0,2.0,25,off,on,149.2,3.886,42.91,1.547,247,0.339,24,0.0931
XRPUSDT,1h,20,8,2.0,2.0,25,on,on,149.2,3.886,42.91,1.547,247,0.339,24,0.0931
ETHUSDT,1h,5,16,2.0,3.0,25,off,off,147.63,3.859,38.4,1.301,362,0.497,0,-0.1164
XRPUSDT,1h,15,12,1.5,2.5,25,on,on,144.57,3.805,38.2,1.476,233,0.32,9,-0.0543
XRPUSDT,1h,15,12,1.5,2.5,25,off,on,144.57,3.805,38.2,1.476,233,0.32,9,-0.0543
ETHUSDT,1h,20,12,2.0,2.5,25,on,on,143.7,3.79,41.31,1.264,397,0.545,18,-0.0647
ETHUSDT,1h,20,12,2.0,2.5,25,off,on,143.7,3.79,41.31,1.264,397,0.545,18,-0.0647
XRPUSDT,1h,15,12,2.0,2.0,off,off,off,143.57,3.787,39.07,1.327,430,0.59,27,-0.0907
XRPUSDT,1h,15,12,2.0,2.0,off,on,off,143.57,3.787,39.07,1.327,430,0.59,27,-0.0907
ETHUSDT,1h,10,12,2.0,2.5,25,off,off,141.82,3.756,40.16,1.308,371,0.509,3,-0.0729
ETHUSDT,1h,5,12,2.0,3.0,20,on,on,140.62,3.734,37.78,1.308,405,0.556,0,-0.1282
ETHUSDT,1h,5,12,2.0,3.0,20,off,on,140.62,3.734,37.78,1.308,405,0.556,0,-0.1282
XRPUSDT,1h,15,8,2.0,3.0,25,off,off,139.09,3.707,10.71,5.628,28,0.038,0,-0.2898
XRPUSDT,1h,10,8,2.0,3.0,25,off,off,139.09,3.707,10.71,5.628,28,0.038,0,-0.2898
XRPUSDT,1h,20,8,2.0,3.0,25,off,off,139.09,3.707,10.71,5.628,28,0.038,0,-0.2898
XRPUSDT,1h,20,8,2.0,2.0,25,off,off,137.84,3.684,42.28,1.424,298,0.409,37,0.025
XRPUSDT,1h,20,12,1.5,2.5,25,off,on,137.52,3.678,38.2,1.456,233,0.32,20,-0.0619
XRPUSDT,1h,20,12,1.5,2.5,25,on,on,137.52,3.678,38.2,1.456,233,0.32,20,-0.0619
XRPUSDT,1h,20,12,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,20,16,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,15,12,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,10,12,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,10,16,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,20,12,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,20,16,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,15,12,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,15,16,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,15,16,1.5,3.0,15,off,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,10,12,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
XRPUSDT,1h,10,16,1.5,3.0,15,on,on,135.6,3.643,4.35,5.668,23,0.032,0,-0.7101
ADAUSDT,1h,15,8,1.5,2.0,off,on,on,134.84,3.629,38.55,1.441,332,0.455,6,-0.0589
ADAUSDT,1h,15,8,1.5,2.0,off,off,on,134.84,3.629,38.55,1.441,332,0.455,6,-0.0589
XRPUSDT,1h,5,8,2.0,2.5,off,on,off,134.32,3.619,26.23,3.551,61,0.084,0,0.1937
ETHUSDT,1h,20,16,2.0,3.0,25,on,off,133.03,3.596,39.89,1.256,371,0.509,18,-0.0999
XRPUSDT,1h,20,12,1.5,2.5,25,off,off,132.71,3.59,40.23,1.335,261,0.358,20,-0.0605
XRPUSDT,1h,20,12,1.5,2.5,25,on,off,132.71,3.59,40.23,1.335,261,0.358,20,-0.0605
XRPUSDT,1h,20,12,2.0,2.0,off,off,off,132.29,3.582,38.43,1.312,432,0.593,46,-0.1118
XRPUSDT,1h,20,12,2.0,2.0,off,on,off,132.29,3.582,38.43,1.312,432,0.593,46,-0.1118
XRPUSDT,1h,20,12,1.5,3.0,off,off,off,130.7,3.552,21.88,2.912,64,0.088,0,-0.1442
XRPUSDT,1h,20,12,1.5,3.0,off,on,off,130.7,3.552,21.88,2.912,64,0.088,0,-0.1442
XRPUSDT,1h,15,12,1.5,3.0,off,off,off,130.7,3.552,21.88,2.912,64,0.088,0,-0.1442
XRPUSDT,1h,15,12,1.5,3.0,off,on,off,130.7,3.552,21.88,2.912,64,0.088,0,-0.1442
ETHUSDT,1h,20,8,1.5,2.5,25,off,off,127.75,3.497,37.61,1.269,436,0.598,8,-0.1466
ETHUSDT,1h,10,8,1.5,3.0,25,on,off,127.69,3.495,36.6,1.222,418,0.573,2,-0.1865
ETHUSDT,1h,15,8,1.0,2.0,25,off,off,127.61,3.494,39.29,1.387,397,0.545,0,-0.0618
XRPUSDT,1h,10,12,1.5,3.0,off,off,off,126.25,3.468,21.88,2.87,64,0.088,0,-0.1535
XRPUSDT,1h,10,12,1.5,3.0,off,on,off,126.25,3.468,21.88,2.87,64,0.088,0,-0.1535
ADAUSDT,1h,10,16,2.0,2.0,20,off,on,124.83,3.441,39.64,1.367,386,0.529,8,-0.0617
ADAUSDT,1h,10,16,2.0,2.0,20,on,on,124.83,3.441,39.64,1.367,386,0.529,8,-0.0617
XRPUSDT,1h,5,8,2.0,2.5,15,on,off,124.45,3.434,23.21,3.633,56,0.077,0,0.0754
XRPUSDT,1h,15,16,2.0,2.5,25,off,off,123.52,3.416,40.08,1.43,237,0.325,16,-0.0258
XRPUSDT,1h,15,16,2.0,2.5,25,on,off,123.52,3.416,40.08,1.43,237,0.325,16,-0.0258
ETHUSDT,1h,5,8,2.0,3.0,25,off,on,122.92,3.404,38.4,1.269,349,0.479,0,-0.129
ETHUSDT,1h,5,8,2.0,3.0,25,on,on,122.92,3.404,38.4,1.269,349,0.479,0,-0.129
ETHUSDT,1h,20,12,2.0,3.0,25,off,off,122.13,3.389,38.85,1.235,399,0.547,18,-0.1316
XRPUSDT,1h,20,8,2.0,3.0,25,on,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,15,8,2.0,3.0,25,on,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,20,8,2.0,3.0,25,off,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,10,8,2.0,3.0,25,on,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,10,8,2.0,3.0,25,off,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,15,8,2.0,3.0,25,off,on,121.7,3.38,13.33,5.021,30,0.041,0,-0.1972
XRPUSDT,1h,20,12,2.0,3.0,25,off,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
XRPUSDT,1h,15,12,2.0,3.0,25,off,on,121.31,3.373,10.34,5.009,29,0.04,0,-0.3783
